"","x","value","value.1","data1[, 3] * 10"
"1",1,0.142449108415842,0.041965346470376,0.41965346470376
"2",2,-0.0860290181206844,0.00989624807296784,0.0989624807296784
"3",3,-0.0653463910603019,0.00636637341641896,0.0636637341641896
"4",4,0.194200228965716,0.0078125,0.078125
"5",5,-0.120430371896083,0.00866365872520887,0.0866365872520887
"6",6,0.0070707338954982,0.00286550035060953,0.0286550035060953
"7",7,0.0129391766649389,0.0048009492404362,0.048009492404362
"8",8,0.0146080533637095,0.000663763576759696,0.00663763576759696
"9",9,0.403865863346855,0.0078125,0.078125
"10",10,0.275843398651864,0.000347666154988073,0.00347666154988073
"11",11,0.172251111544511,0.000190587718949083,0.00190587718949083
"12",12,-0.129340947602954,0.000417135529596436,0.00417135529596436
"13",13,-0.0712691867479344,0.0078125,0.078125
"14",14,-0.139208629293459,0.00243499128569051,0.0243499128569051
"15",15,0.119840881554489,0.000647294758104207,0.00647294758104207
"16",16,0.0277256680644263,0.0078125,0.078125
"17",17,0.239345800447565,0.00328142347796584,0.0328142347796584
"18",18,0.56084427906437,0.0078125,0.078125
"19",19,0.77131902030169,0.00979920626214667,0.0979920626214667
"20",20,0.141433539623654,0.00553424181068898,0.0553424181068898
"21",21,0.747063569755103,0.0078125,0.078125
"22",22,-0.197664515509694,0.000877979283849013,0.00877979283849013
"23",23,-0.269933799903869,0.00077429519815638,0.0077429519815638
"24",24,-0.232592936239456,0.00165598404959632,0.0165598404959632
"25",25,0.210777401794276,0.0078125,0.078125
"26",26,0.159370441020755,0.015983567571294,0.15983567571294
"27",27,0.198099064652076,0.00615825798236288,0.0615825798236288
"28",28,-0.553950898781043,0.000183313641367273,0.00183313641367273
"29",29,-0.496800484170526,0.0078125,0.078125
"30",30,-0.287490274231972,0.00375635067872496,0.0375635067872496
"31",31,-0.131006280353884,0.00112854449172602,0.0112854449172602
"32",32,-1.04359850096499,0.000367522876731267,0.00367522876731267
"33",33,-0.0602786843171629,0.000685802772685577,0.00685802772685577
"34",34,-0.641741790227004,0.0078125,0.078125
"35",35,-0.676466995597142,0.0109187641311737,0.109187641311737
"36",36,0.292885795028782,0.001809447428409,0.01809447428409
"37",37,-0.00222635774479477,0.000436698663462647,0.00436698663462647
"38",38,0.213736332074609,3.87613372501839e-05,0.000387613372501839
"39",39,-0.41002023754255,0.0078125,0.078125
"40",40,0.0941915827774624,0.00461568633933908,0.0461568633933908
"41",41,-0.231178423651287,0.0060552187868097,0.060552187868097
"42",42,0.22244516589469,0.0027606173422977,0.027606173422977
"43",43,-0.622727728762854,0.0078125,0.078125
"44",44,-0.56361392853548,0.00536499090832267,0.0536499090832267
"45",45,-0.858468892269031,0.00337407636216938,0.0337407636216938
"46",46,-0.525175811662278,0.00270343503195381,0.0270343503195381
"47",47,-0.299458090899597,0.00117116974010938,0.0117116974010938
"48",48,-0.704850639213407,0.000750436470732523,0.00750436470732523
"49",49,-0.54860311436147,0.000416817962345445,0.00416817962345445
"50",50,-0.527718060722133,0.0078125,0.078125
"51",51,-0.318610650645709,0.00620210167642223,0.0620210167642223
"52",52,0.133270083579935,0.0078125,0.078125
"53",53,0.158678281983075,0.00260650198224531,0.0260650198224531
"54",54,0.300350161396635,0.00719944775317681,0.0719944775317681
"55",55,0.233209721286984,0.0078125,0.078125
"56",56,-0.383522334975498,0.00124252610713207,0.0124252610713207
"57",57,0.340567397959213,0.00196920711104977,0.0196920711104977
"58",58,0.00975627666109896,0.00026370116144262,0.0026370116144262
"59",59,0.17503550779803,8.5751540858782e-05,0.00085751540858782
"60",60,-0.246112248790414,6.45289896638146e-05,0.000645289896638146
"61",61,-0.612515501210526,0.0078125,0.078125
"62",62,0.310642846318675,3.13922387856606e-05,0.000313922387856606
"63",63,0.64865288423921,0.0078125,0.078125
"64",64,0.749231399448594,0.0111295771897769,0.111295771897769
"65",65,0.633732803134389,0.026263294807236,0.26263294807236
"66",66,0.326476161051692,0.0052399116077077,0.052399116077077
"67",67,-0.46671564848553,0.0078125,0.078125
"68",68,0.0625856861202628,0.00331820906635185,0.0331820906635185
"69",69,0.349883570216347,0.00105482456643228,0.0105482456643228
"70",70,0.349124671875513,0.0078125,0.078125
"71",71,0.409199699290698,0.00412883270578679,0.0412883270578679
"72",72,0.295583603437266,0.00358751765806488,0.0358751765806488
"73",73,0.383333387189499,0.00321124207073927,0.0321124207073927
"74",74,-0.428666745273992,3.75429530456961e-05,0.000375429530456961
"75",75,-1.01255714041052,0.0078125,0.078125
"76",76,-0.678092829248761,0.0101263402077466,0.101263402077466
"77",77,-1.04300289335271,0.00248495840378428,0.0248495840378428
"78",78,-1.6740275415134,0.00221998970499123,0.0221998970499123
"79",79,-1.52661624367403,0.00423660196853035,0.0423660196853035
"80",80,-1.15809653986258,0.00411357980518603,0.0411357980518603
"81",81,-1.55818394123899,0.0012050041523056,0.012050041523056
"82",82,-1.50452265972786,0.00186089784101889,0.0186089784101889
"83",83,-1.49525638680603,0.00253655953555453,0.0253655953555453
"84",84,-0.35085518379137,0.0078125,0.078125
"85",85,-0.822787459993048,0.00226374490643299,0.0226374490643299
"86",86,-1.64131861482122,0.000917817173360504,0.00917817173360504
"87",87,-1.64811573573546,0.0010948236195836,0.010948236195836
"88",88,-1.17754042884613,0.000287872744424407,0.00287872744424407
"89",89,-1.16660324064735,0.000150677491109058,0.00150677491109058
"90",90,-1.15156721497245,0.000119736734504495,0.00119736734504495
"91",91,-0.44869326387404,7.00924246050289e-06,7.00924246050289e-05
"92",92,-0.821150872336246,1.76844396579475e-05,0.000176844396579475
