"","V1","V2"
"1",1,-0.310912507059029
"2",2,-0.110015788169786
"3",3,0.0411502136296962
"4",4,0.143437462025211
"5",5,0.129039150487012
"6",6,-0.0409959548389785
"7",7,-0.043098921042789
"8",8,0.131994360272882
"9",9,0.30763613996866
"10",10,0.152950917657048
"11",11,0.108418287039115
"12",12,0.111043980825701
"13",13,-0.108395133705609
"14",14,0.0932692813689964
"15",15,0.101916173942418
"16",16,0.0519938598696868
"17",17,0.330396315177421
"18",18,0.282865888094019
"19",19,0.375104006841067
"20",20,0.319329622060052
"21",21,0.277347545255209
"22",22,0.119384376968959
"23",23,0.182873437626677
"24",24,0.130995601229577
"25",25,0.0364315343938918
"26",26,-0.0615478296635316
"27",27,-0.0437525907744116
"28",28,-0.36475370341489
"29",29,-0.178736180246037
"30",30,-0.0994791619327521
"31",31,-0.512763547946155
"32",32,-0.452298062486563
"33",33,-0.485340057112552
"34",34,-0.376767289640637
"35",35,-0.421407362383986
"36",36,0.0131120261857078
"37",37,-0.071431549612472
"38",38,-0.271682970626066
"39",39,-0.367222402804039
"40",40,-0.189972561788766
"41",41,-0.153416300795757
"42",42,-0.403253483055722
"43",43,-0.596571263056563
"44",44,-0.535039049437869
"45",45,-0.77019984286307
"46",46,-0.647456728015263
"47",47,-0.625685831966316
"48",48,-0.36124808741247
"49",49,-0.312699759023211
"50",50,-0.376273807586526
"51",51,-0.11552067234887
"52",52,0.106810969287477
"53",53,0.0997330190009521
"54",54,0.0661229730185893
"55",55,0.028877476014986
"56",56,-0.0765756968450219
"57",57,-0.0948476477344393
"58",58,-0.133023323274429
"59",59,0.00535950179025123
"60",60,-0.167877102318923
"61",61,-0.37016433604119
"62",62,0.162682833800469
"63",63,0.456724795006323
"64",64,0.408020823139985
"65",65,0.440198949805575
"66",66,-0.10215766694289
"67",67,-0.118928794902357
"68",68,0.0053482113242463
"69",69,-0.029513770179141
"70",70,0.33695876851856
"71",71,0.409696069507278
"72",72,0.132420346120358
"73",73,-0.0232908208066026
"74",74,-0.322559243656381
"75",75,-0.897384478352758
"76",76,-0.98349888549036
"77",77,-1.01017868771192
"78",78,-1.17106028347391
"79",79,-1.18888685785954
"80",80,-1.06180971745894
"81",81,-1.33057463050391
"82",82,-1.55028566765694
"83",83,-1.32920295314569
"84",84,-0.871752517403817
"85",85,-1.04241297673135
"86",86,-1.20176379003785
"87",87,-1.34821610698648
"88",88,-1.18417385585086
"89",89,-0.88550014537943
"90",90,-0.677973470542129
"91",91,-0.509859432221431
"92",92,-0.766810255887646
"93",93,-1.04643496509446
"94",94,-1.16195152443114
"95",95,-1.12519363019845
"96",96,-1.47405475631036
"97",97,-1.66500708132556
"98",98,-1.63901474675719
"99",99,-1.62789135985148
"100",100,-1.81352854799787
