"","y","v","r","alp"
"21",2.0533267738277,3.15717684121147,0.622453230754806,-0.178981178768074
"22",1.19203074836251,3.20929319353825,0.700988477726538,0.0174961402027198
"23",2.06902373706351,3.57289668405072,0.710781430392162,0.0444936598977515
"24",2.44560272841577,2.3054393795452,0.489238810611671,-0.470014572947253
"25",3.10896719001399,3.04679115332156,0.582329698122756,-0.270074919413239
"26",-2.81388204422466,1.75496685352533,0.513713968921092,-0.418315716486507
"27",1.78206573025928,2.71093120249729,0.5387737250415,-0.36492396634829
"28",2.05475415616391,1.71517504890132,0.635963024495249,-0.147185155648045
"29",2.21118201582929,2.49118991707259,0.533076357705521,-0.377119209443764
"30",0.461042572319433,3.04243678087242,0.43476988495922,-0.584898367581954
"31",0.572177401302573,1.64892869934781,0.427218119180061,-0.600934811317323
"32",0.0697342107669279,2.13748286458542,0.473158400280954,-0.503877071466283
"33",1.80528036617919,2.21094120949248,0.436144722468601,-0.581983772023632
"34",1.10472107929006,2.39376222234169,0.490812489219147,-0.466698243844414
"35",0.961876402287322,2.321633459726,0.546436610260354,-0.348457633206479
"36",0.992874164691406,3.45155571128867,0.544909580446816,-0.351745213441054
"37",2.24568394833327,2.0565682310952,0.43977809181813,-0.574287741125513
"38",3.01476452451771,2.18454859443675,0.554119088703019,-0.331866905887125
"39",-3.06510597869849,2.08497856407743,0.469012628718826,-0.512605659819413
"40",2.47886374065901,2.96763332011128,0.619477532237903,-0.185899102634743
"41",0.0381581349023388,3.17634506328773,0.569631179377744,-0.298076132460399
"42",0.573338203391783,1.60042879601058,0.353131673539719,-0.762427765065637
"43",1.72703195024716,2.25900899975928,0.325001429586577,-0.826959890673635
"44",0.230611939535793,2.24343588314342,0.307252808023654,-0.869040294876327
"45",-0.532362938847543,1.40843477428922,0.334826253572769,-0.804146495596193
"46",-1.72404917585406,2.24864005412228,0.490817029427857,-0.466688674903062
"47",0.426585832280761,1.72642288841952,0.500281311607704,-0.446725843477156
"48",0.0424408465973287,2.57266050969197,0.391720613371589,-0.677155332632822
"49",-1.63818847447407,2.02157531319385,0.579310705932295,-0.276762635342867
"50",-1.72746034825165,2.12925580517356,0.585662391071617,-0.262668717865367
"51",0.417547026155348,4.28441853409491,0.713883482171007,0.0531971779926839
"52",0.616656389756691,3.94747880754073,0.722775535845494,0.0785801769955059
"53",0.529976283090894,2.61818627004017,0.654570102590205,-0.102226443331073
"54",0.316373045452949,2.50287045240837,0.51589809164794,-0.413685034618669
"55",0.626972020541262,2.57403623096206,0.493981090038357,-0.46001852034401
"56",0.41644830445775,2.58080346771506,0.489305027774917,-0.469875042428738
"57",-0.388315048297565,2.40510393588047,0.534099134847127,-0.374932729714935
"58",0.545883058037633,2.75197835556936,0.612826939587624,-0.201256875996255
"59",0.0648358490162138,2.58690438044026,0.499214641243917,-0.448977578619942
"60",-2.21343199846439,2.42937571490244,0.432140124781332,-0.590477397967142
"61",-2.05132152568393,2.69651093252176,0.654325086501197,-0.102828141732266
"62",1.82948352217779,4.11430325218345,0.817947769290983,0.411800475664633
"63",-1.56246552328063,4.04701404103576,0.901159481919305,0.957560995252733
"64",-1.63902108113262,2.75214218558927,0.859313334443331,0.624361646349475
"65",-1.79769961246751,3.71776873930713,0.757184916791883,0.183937943949088
"66",-2.06070898907517,2.01295178434258,0.723675149235898,0.081185621410175
"67",1.62641326984096,2.50392393384209,0.765058354729826,0.209955883631207
"68",1.6163870393625,3.3214307114693,0.819551366703541,0.418888771035553
"69",1.60405542261545,3.01662329538524,0.715010400953546,0.0563779177942442
"70",-1.28469659354692,4.09089282572501,0.646339867349717,-0.122291807704314
"71",-0.972187086945867,3.45917392620169,0.573537272240107,-0.289498060199869
