"","x","value","value.1","data1[, 3] * 10"
"137",37,-0.10675,6.0724e-05,0.00060724
"138",38,-0.47201,0.00097656,0.0097656
"139",39,-0.56875,0.00035501,0.0035501
"140",40,-0.4766,0.00097656,0.0097656
"141",41,-0.64766,5.3097e-05,0.00053097
"142",42,-0.56063,0.00097656,0.0097656
"143",43,-0.80838,0.00043038,0.0043038
"144",44,-0.81314,0.00029951,0.0029951
"145",45,-0.58163,0.00030894,0.0030894
"146",46,-0.81976,0.00097656,0.0097656
"147",47,-0.70567,0.00033081,0.0033081
"148",48,-0.37927,0.00025511,0.0025511
"149",49,-1.0109,0.00097656,0.0097656
"150",50,0.050101,0.00097656,0.0097656
"151",51,-0.028959,5.6807e-05,0.00056807
"152",52,-0.22378,0.00025673,0.0025673
"153",53,0.38703,0.00097656,0.0097656
"154",54,0.61312,4.4063e-05,0.00044063
"155",55,0.012978,0.00097656,0.0097656
"156",56,-0.19049,0.00012082,0.0012082
"157",57,-0.10903,6.6252e-06,6.6252e-05
"158",58,0.033684,7.5874e-07,7.5874e-06
"159",59,-1.0846,0.00097656,0.0097656
"160",60,-1.521,4.8794e-05,0.00048794
"161",61,-1.1949,2.6705e-06,2.6705e-05
"162",62,-0.97252,1.7434e-09,1.7434e-08
"163",63,-1.0959,4.5841e-13,4.5841e-12
"164",64,0.21332,0.00097656,0.0097656
"165",65,-0.067157,0.00013428,0.0013428
"166",66,-0.0085194,0.00097656,0.0097656
"167",67,-0.36797,0.00085264,0.0085264
"168",68,-0.25877,0.00097656,0.0097656
"169",69,-0.4636,2.1922e-05,0.00021922
"170",70,0.30882,0.00097656,0.0097656
"171",71,0.49993,6.0989e-05,0.00060989
"172",72,0.10457,2.9367e-05,0.00029367
"173",73,0.04716,0.00097656,0.0097656
"174",74,0.42431,6.3903e-05,0.00063903
"175",75,-0.7286,0.00097656,0.0097656
"176",76,-0.67073,7.5698e-05,0.00075698
"177",77,-0.46951,5.5565e-06,5.5565e-05
"178",78,-0.75531,4.0456e-06,4.0456e-05
"179",79,-0.74646,1.0241e-07,1.0241e-06
"180",80,-0.72105,5.954e-09,5.954e-08
"181",81,-1.7082,0.00097656,0.0097656
"182",82,-1.7073,0.00054794,0.0054794
"183",83,-1.5979,0.00011607,0.0011607
"184",84,-0.77922,0.00097656,0.0097656
"185",85,-1.6115,0.00097656,0.0097656
"186",86,-1.5863,0.00066986,0.0066986
"187",87,-1.4901,0.00036311,0.0036311
"188",88,-0.987,0.0013419,0.013419
"189",89,-0.62666,0.00097656,0.0097656
"190",90,-1.2375,0.0095661,0.095661
"191",91,-0.97298,0.0096835,0.096835
"192",92,-1.2776,0.020466,0.20466
"193",93,-1.7354,0.00097656,0.0097656
"194",94,-2.1174,0.0021576,0.021576
"195",95,-1.9521,0.00082362,0.0082362
"196",96,-2.2551,0.0047162,0.047162
"197",97,-2.0947,0.0030915,0.030915
"198",98,-2.2952,0.0018938,0.018938
"199",99,-1.8985,0.003471,0.03471
"200",100,-1.7867,0.0016373,0.016373
"201",1,0.30347,0.0011489,0.011489
"202",2,-0.11953,0.00097656,0.0097656
"203",3,-0.031552,0.00021252,0.0021252
"204",4,0.11217,5.1993e-05,0.00051993
"205",5,-0.14342,0.00097656,0.0097656
"206",6,0.3287,0.00028225,0.0028225
